goos: linux
goarch: amd64
pkg: github.com/ajnavarro/super-blockstore
cpu: 11th Gen Intel(R) Core(TM) i7-1195G7 @ 2.90GHz
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/ACTION=Write-8                                        	  810988	      1807 ns/op	     368 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=DiskUsage-8                              	   60057	     20381 ns/op	      9100 disk	    6793 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=1-8       	   13953	     84465 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=2-8       	   14079	     83803 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=3-8       	   14170	     83978 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=1-8          	   14053	     85363 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=2-8          	   13825	     84174 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=3-8          	   14108	     84342 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=NonExistingKey/ITER=1-8                  	    6890	    171240 ns/op	   35120 B/op	     897 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=NonExistingKey/ITER=2-8                  	    6782	    171232 ns/op	   35121 B/op	     897 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=100/ACTION=NonExistingKey/ITER=3-8                  	    6836	    171096 ns/op	   35120 B/op	     897 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=DiskUsage-8                             	   61339	     20414 ns/op	     81085 disk	    6793 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100EventlyDistributed/ITER=1-8      	   13857	     86403 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100EventlyDistributed/ITER=2-8      	   13825	     85317 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100EventlyDistributed/ITER=3-8      	   13772	     85216 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100ConsecutiveKeys/ITER=1-8         	   13803	     85590 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100ConsecutiveKeys/ITER=2-8         	   13783	     86929 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=Read100ConsecutiveKeys/ITER=3-8         	   13773	     85671 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=NonExistingKey/ITER=1-8                 	    3345	    356224 ns/op	  100810 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=NonExistingKey/ITER=2-8                 	    3312	    355753 ns/op	  100810 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=1000/ACTION=NonExistingKey/ITER=3-8                 	    3319	    357152 ns/op	  100810 B/op	    1581 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=DiskUsage-8                            	   59773	     20008 ns/op	    800846 disk	    6792 B/op	      87 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100EventlyDistributed/ITER=1-8     	   13906	     84931 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100EventlyDistributed/ITER=2-8     	   14042	     84774 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100EventlyDistributed/ITER=3-8     	   13897	     85471 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100ConsecutiveKeys/ITER=1-8        	   14046	     84527 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100ConsecutiveKeys/ITER=2-8        	   14072	     84913 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=Read100ConsecutiveKeys/ITER=3-8        	   14053	     84598 ns/op	    9600 B/op	     300 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=NonExistingKey/ITER=1-8                	    2590	    418117 ns/op	  513357 B/op	    1589 allocs/op
BenchmarkCompareDatastores/DS=superBlockstore/P=262144/N=10000/ACTION=NonExistingKey/ITER=2-8                	    2524	    415304 ns/op	  513357 B/op	    1589 allocs/op
